"Tool","Class","Registered","Header","Source","DeclMutates","DeclDryRun","DeclSave","DeclBatch","HasDryRunImpl","HasSaveImpl","HasOldResult","HasLoadObject","HasMutationTokens","HasAliases","Aliases"
"add-component","UAddComponentTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\AddComponentTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\AddComponentTool.cpp","True","False","False","False","False","False","False","False","True","True","add_component"
"add-datatable-row","UAddDataTableRowTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\AddDataTableRowTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\AddDataTableRowTool.cpp","True","False","False","False","False","False","True","False","True","True","add_datatable_row"
"add-graph-node","UAddGraphNodeTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\AddGraphNodeTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\AddGraphNodeTool.cpp","True","False","False","False","False","False","True","False","True","False",""
"add-statetree-state","UAddStateTreeStateTool","True","Source\UEBridgeMCPEditor\Public\Tools\StateTree\AddStateTreeStateTool.h","Source\UEBridgeMCPEditor\Private\Tools\StateTree\AddStateTreeStateTool.cpp","False","False","False","False","False","False","True","True","True","True","create_state_tree, add_state_tree_state"
"add-statetree-task","UAddStateTreeTaskTool","True","Source\UEBridgeMCPEditor\Public\Tools\StateTree\AddStateTreeTaskTool.h","Source\UEBridgeMCPEditor\Private\Tools\StateTree\AddStateTreeTaskTool.cpp","False","False","False","False","False","False","True","True","True","False",""
"add-statetree-transition","UAddStateTreeTransitionTool","True","Source\UEBridgeMCPEditor\Public\Tools\StateTree\AddStateTreeTransitionTool.h","Source\UEBridgeMCPEditor\Private\Tools\StateTree\AddStateTreeTransitionTool.cpp","False","False","False","False","False","False","True","True","True","False",""
"add-widget","UAddWidgetTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\AddWidgetTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\AddWidgetTool.cpp","True","False","False","False","False","False","True","False","True","True","add_widget"
"align-actors-batch","UAlignActorsBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Level\AlignActorsBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Level\AlignActorsBatchTool.cpp","True","True","True","True","True","True","False","False","True","True","align_actors"
"analyze-blueprint-compile-results","UAnalyzeBlueprintCompileResultsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\AnalyzeBlueprintCompileResultsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\AnalyzeBlueprintCompileResultsTool.cpp","False","False","False","False","False","False","False","False","False","True","validate_blueprint"
"apply-audio-to-actor","UApplyAudioToActorTool","True","Source\UEBridgeMCPEditor\Public\Tools\Audio\ApplyAudioToActorTool.h","Source\UEBridgeMCPEditor\Private\Tools\Audio\ApplyAudioToActorTool.cpp","True","True","True","False","True","True","False","False","True","True","spawn_sound"
"apply-blueprint-fixups","UApplyBlueprintFixupsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\ApplyBlueprintFixupsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\ApplyBlueprintFixupsTool.cpp","False","False","False","False","True","True","False","False","True","False",""
"apply-material","UApplyMaterialTool","True","Source\UEBridgeMCPEditor\Public\Tools\Material\ApplyMaterialTool.h","Source\UEBridgeMCPEditor\Private\Tools\Material\ApplyMaterialTool.cpp","False","False","False","False","False","True","False","False","True","True","assign_material"
"apply-niagara-system-to-actor","UApplyNiagaraSystemToActorTool","True","Source\UEBridgeMCPEditor\Public\Tools\Niagara\ApplyNiagaraSystemToActorTool.h","Source\UEBridgeMCPEditor\Private\Tools\Niagara\ApplyNiagaraSystemToActorTool.cpp","True","True","True","False","True","True","False","False","True","True","spawn_niagara_system"
"apply-physical-material","UApplyPhysicalMaterialTool","True","Source\UEBridgeMCPEditor\Public\Tools\Physics\ApplyPhysicalMaterialTool.h","Source\UEBridgeMCPEditor\Private\Tools\Physics\ApplyPhysicalMaterialTool.cpp","True","True","True","False","True","True","False","False","True","True","assign_physics_material"
"assert-world-state","UAssertWorldStateTool","True","Source\UEBridgeMCPEditor\Public\Tools\PIE\AssertWorldStateTool.h","Source\UEBridgeMCPEditor\Private\Tools\PIE\AssertWorldStateTool.cpp","False","False","False","False","False","False","False","False","False","False",""
"auto-fix-blueprint-compile-errors","UAutoFixBlueprintCompileErrorsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\AutoFixBlueprintCompileErrorsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\AutoFixBlueprintCompileErrorsTool.cpp","False","False","False","False","True","True","False","False","True","False",""
"blueprint-scaffold-from-spec","UBlueprintScaffoldFromSpecTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\BlueprintScaffoldFromSpecTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\BlueprintScaffoldFromSpecTool.cpp","False","False","False","False","True","True","False","False","True","False",""
"build-and-relaunch","UBuildAndRelaunchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Build\BuildAndRelaunchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Build\BuildAndRelaunchTool.cpp","False","False","False","False","False","False","True","False","False","False",""
"call-function","UCallFunctionTool","True","Source\UEBridgeMCPEditor\Public\Tools\CallFunctionTool.h","Source\UEBridgeMCPEditor\Private\Tools\CallFunctionTool.cpp","False","False","False","False","False","False","False","False","False","False",""
"capture-performance-snapshot","UCapturePerformanceSnapshotTool","True","Source\UEBridgeMCPEditor\Public\Tools\Performance\CapturePerformanceSnapshotTool.h","Source\UEBridgeMCPEditor\Private\Tools\Performance\CapturePerformanceSnapshotTool.cpp","False","False","False","False","False","False","False","False","False","False",""
"capture-viewport","UCaptureViewportTool","True","Source\UEBridgeMCPEditor\Public\Tools\Debug\CaptureViewportTool.h","Source\UEBridgeMCPEditor\Private\Tools\Debug\CaptureViewportTool.cpp","False","False","False","False","False","True","False","False","False","True","take_screenshot"
"compile-assets","UCompileAssetsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Asset\CompileAssetsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Asset\CompileAssetsTool.cpp","False","False","False","False","False","True","False","False","True","True","compile_blueprint, compile_material"
"connect-graph-pins","UConnectGraphPinsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\ConnectGraphPinsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\ConnectGraphPinsTool.cpp","True","False","False","False","False","False","True","False","True","True","connect_pins"
"create-ai-behavior-assets","UCreateAIBehaviorAssetsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateAIBehaviorAssetsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateAIBehaviorAssetsTool.cpp","True","True","True","False","True","True","False","False","True","True","create_behavior_tree, create_blackboard"
"create-animation-montage","UCreateAnimationMontageTool","True","Source\UEBridgeMCPEditor\Public\Tools\Animation\CreateAnimationMontageTool.h","Source\UEBridgeMCPEditor\Private\Tools\Animation\CreateAnimationMontageTool.cpp","True","True","True","False","True","True","False","False","True","True","create_anim_montage"
"create-asset","UCreateAssetTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\CreateAssetTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\CreateAssetTool.cpp","True","False","False","False","False","False","True","True","True","True","create_level_sequence"
"create-attribute-set","UCreateAttributeSetTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateAttributeSetTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateAttributeSetTool.cpp","True","True","True","False","True","True","False","False","True","True","create_attribute_set"
"create-audio-component-setup","UCreateAudioComponentSetupTool","True","Source\UEBridgeMCPEditor\Public\Tools\Audio\CreateAudioComponentSetupTool.h","Source\UEBridgeMCPEditor\Private\Tools\Audio\CreateAudioComponentSetupTool.cpp","True","True","True","False","True","True","False","False","True","True","set_audio_properties"
"create-blend-space","UCreateBlendSpaceTool","True","Source\UEBridgeMCPEditor\Public\Tools\Animation\AnimationAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Animation\AnimationAdvancedTools.cpp","True","True","True","False","True","True","False","False","True","True","create_blend_space"
"create-blueprint-event","UCreateBlueprintEventTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\CreateBlueprintEventTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\CreateBlueprintEventTool.cpp","False","False","False","False","True","True","False","False","False","True","add_custom_event, add_event_node"
"create-blueprint-function","UCreateBlueprintFunctionTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\CreateBlueprintFunctionTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\CreateBlueprintFunctionTool.cpp","False","False","False","False","True","True","False","False","False","True","add_function_graph"
"create-blueprint-pattern","UCreateBlueprintPatternTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\CreateBlueprintPatternTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\CreateBlueprintPatternTool.cpp","False","False","False","False","False","True","False","False","True","False",""
"create-common-ui-widget","UCreateCommonUIWidgetTool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\CommonUITools.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\CommonUITools.cpp","True","True","True","False","True","True","False","False","True","True","create_common_ui_widget"
"create-gameframework-blueprint-set","UCreateGameFrameworkBlueprintSetTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateGameFrameworkBlueprintSetTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateGameFrameworkBlueprintSetTool.cpp","True","True","True","False","True","True","False","False","True","True","create_game_mode, create_player_controller, create_game_state, create_player_state, create_hud"
"create-gameplay-ability","UCreateGameplayAbilityTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateGameplayAbilityTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateGameplayAbilityTool.cpp","True","True","True","False","True","True","False","False","True","True","create_gameplay_ability"
"create-gameplay-effect","UCreateGameplayEffectTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateGameplayEffectTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateGameplayEffectTool.cpp","True","True","True","False","True","True","False","False","True","True","create_gameplay_effect"
"create-input-action","UCreateInputActionTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateInputActionTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateInputActionTool.cpp","True","True","True","False","True","True","False","False","True","True","create_input_action"
"create-input-mapping-context","UCreateInputMappingContextTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\CreateInputMappingContextTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\CreateInputMappingContextTool.cpp","True","True","True","False","True","True","False","False","True","True","create_input_mapping_context"
"create-landscape","UCreateLandscapeTool","True","Source\UEBridgeMCPEditor\Public\Tools\Landscape\CreateLandscapeTool.h","Source\UEBridgeMCPEditor\Private\Tools\Landscape\CreateLandscapeTool.cpp","True","True","True","False","True","True","False","False","True","True","create_landscape"
"create-material-instance","UCreateMaterialInstanceTool","True","Source\UEBridgeMCPEditor\Public\Tools\Material\CreateMaterialInstanceTool.h","Source\UEBridgeMCPEditor\Private\Tools\Material\CreateMaterialInstanceTool.cpp","True","True","True","False","True","True","False","False","True","True","create_material_instance"
"create-metasound-source","UCreateMetaSoundSourceTool","True","Source\UEBridgeMCPEditor\Public\Tools\MetaSound\CreateMetaSoundSourceTool.h","Source\UEBridgeMCPEditor\Private\Tools\MetaSound\CreateMetaSoundSourceTool.cpp","True","False","True","False","False","True","False","False","True","True","create_metasound_source"
"create-niagara-system-from-template","UCreateNiagaraSystemFromTemplateTool","True","Source\UEBridgeMCPEditor\Public\Tools\Niagara\CreateNiagaraSystemFromTemplateTool.h","Source\UEBridgeMCPEditor\Private\Tools\Niagara\CreateNiagaraSystemFromTemplateTool.cpp","True","False","True","False","False","True","False","False","True","False",""
"create-physics-constraint","UCreatePhysicsConstraintTool","True","Source\UEBridgeMCPEditor\Public\Tools\Physics\CreatePhysicsConstraintTool.h","Source\UEBridgeMCPEditor\Private\Tools\Physics\CreatePhysicsConstraintTool.cpp","True","True","True","False","True","True","False","False","True","True","add_physics_constraint"
"create-sound-cue","UCreateSoundCueTool","True","Source\UEBridgeMCPEditor\Public\Tools\Audio\CreateSoundCueTool.h","Source\UEBridgeMCPEditor\Private\Tools\Audio\CreateSoundCueTool.cpp","True","False","True","False","False","True","False","False","True","False",""
"create-user-defined-enum","UCreateUserDefinedEnumTool","True","Source\UEBridgeMCPEditor\Public\Tools\Asset\CreateUserDefinedEnumTool.h","Source\UEBridgeMCPEditor\Private\Tools\Asset\CreateUserDefinedEnumTool.cpp","True","True","True","False","True","True","False","False","True","True","create_enum"
"create-user-defined-struct","UCreateUserDefinedStructTool","True","Source\UEBridgeMCPEditor\Public\Tools\Asset\CreateUserDefinedStructTool.h","Source\UEBridgeMCPEditor\Private\Tools\Asset\CreateUserDefinedStructTool.cpp","True","True","True","False","True","True","False","False","True","True","create_user_struct"
"create-widget-blueprint","UCreateWidgetBlueprintTool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\CreateWidgetBlueprintTool.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\CreateWidgetBlueprintTool.cpp","True","True","True","False","True","True","False","False","True","True","create_widget_blueprint"
"disconnect-graph-pin","UDisconnectGraphPinTool","True","Source\UEBridgeMCPEditor\Public\Tools\Write\DisconnectGraphPinTool.h","Source\UEBridgeMCPEditor\Private\Tools\Write\DisconnectGraphPinTool.cpp","True","False","False","False","False","False","True","False","True","True","disconnect_pin"
"drop-actors-to-surface","UDropActorsToSurfaceTool","True","Source\UEBridgeMCPEditor\Public\Tools\Level\DropActorsToSurfaceTool.h","Source\UEBridgeMCPEditor\Private\Tools\Level\DropActorsToSurfaceTool.cpp","True","True","True","True","True","True","False","False","True","True","place_actor_on_ground"
"edit-animation-notifies","UEditAnimationNotifiesTool","True","Source\UEBridgeMCPEditor\Public\Tools\Animation\AnimationAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Animation\AnimationAdvancedTools.cpp","True","True","True","True","True","True","False","False","True","True","add_anim_notify, list_anim_notifies"
"edit-anim-blueprint-state-machine","UEditAnimBlueprintStateMachineTool","True","Source\UEBridgeMCPEditor\Public\Tools\Animation\EditAnimBlueprintStateMachineTool.h","Source\UEBridgeMCPEditor\Private\Tools\Animation\EditAnimBlueprintStateMachineTool.cpp","True","True","True","True","True","True","False","False","True","True","create_anim_state_machine, add_anim_state, add_anim_transition"
"edit-anim-graph-node","UEditAnimGraphNodeTool","True","Source\UEBridgeMCPEditor\Public\Tools\Animation\AnimationAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Animation\AnimationAdvancedTools.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-blackboard-keys","UEditBlackboardKeysTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\GameplayAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\GameplayAdvancedTools.cpp","True","True","True","True","True","True","False","False","True","True","add_blackboard_key"
"edit-blend-space-samples","UEditBlendSpaceSamplesTool","True","Source\UEBridgeMCPEditor\Public\Tools\Animation\AnimationAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Animation\AnimationAdvancedTools.cpp","True","True","True","True","True","True","False","False","True","True","add_blend_space_sample"
"edit-blueprint-components","UEditBlueprintComponentsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\EditBlueprintComponentsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\EditBlueprintComponentsTool.cpp","False","False","False","False","True","True","False","True","True","True","set_component_property"
"edit-blueprint-function-signature","UEditBlueprintFunctionSignatureTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\EditBlueprintFunctionSignatureTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\EditBlueprintFunctionSignatureTool.cpp","False","False","False","False","True","True","False","False","False","False",""
"edit-blueprint-graph","UEditBlueprintGraphTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\EditBlueprintGraphTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\EditBlueprintGraphTool.cpp","True","True","True","True","True","True","False","False","True","True","add_branch_node, add_cast_node, add_delay_node, add_flow_control_node, add_sequence_node, add_timeline_node, add_variable_get_node, add_variable_set_node"
"edit-blueprint-members","UEditBlueprintMembersTool","True","Source\UEBridgeMCPEditor\Public\Tools\Blueprint\EditBlueprintMembersTool.h","Source\UEBridgeMCPEditor\Private\Tools\Blueprint\EditBlueprintMembersTool.cpp","False","False","False","False","True","True","False","False","True","True","add_variable, add_local_variable"
"edit-collision-settings","UEditCollisionSettingsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Physics\EditCollisionSettingsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Physics\EditCollisionSettingsTool.cpp","True","True","True","False","True","True","False","False","True","True","set_collision_profile, set_collision_response"
"edit-common-ui","UEditCommonUITool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\CommonUITools.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\CommonUITools.cpp","True","True","True","True","True","True","False","False","True","True","configure_common_button, set_common_ui_input_mode"
"edit-control-rig-graph","UEditControlRigGraphTool","True","Source\UEBridgeMCPControlRig\Public\Tools\ControlRig\EditControlRigGraphTool.h","Source\UEBridgeMCPControlRig\Private\Tools\ControlRig\EditControlRigGraphTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-datatable-batch","UEditDataTableBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Asset\EditDataTableBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Asset\EditDataTableBatchTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-editor-selection","UEditEditorSelectionTool","True","Source\UEBridgeMCPEditor\Public\Tools\Editor\EditorInteractionTools.h","Source\UEBridgeMCPEditor\Private\Tools\Editor\EditorInteractionTools.cpp","True","True","False","False","True","False","False","False","False","True","select_actors"
